isco08,isco08_name,digits_level
911,"Domestic, Hotel and Office Cleaners and Helpers",3
912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers",3
921,"Agricultural, Forestry and Fishery Labourers",3
931,Mining and Construction Labourers,3
932,Manufacturing Labourers,3
933,Transport and Storage Labourers,3
941,Food Preparation Assistants,3
951,Street and Related Services Workers,3
952,Street Vendors (excluding Food),3
961,Refuse Workers,3
962,Other Elementary Workers,3
011,Commissioned Armed Forces Officers,3
021,Non-commissioned Armed Forces Officers,3
031,"Armed Forces Occupations, Other Ranks",3
1111,Legislators,4
1112,Senior Government Officials,4
1113,Traditional Chiefs and Heads of Villages,4
1114,Senior Officials of Special-interest Organizations,4
1120,Managing Directors and Chief Executives,4
1211,Finance Managers,4
1212,Human Resource Managers,4
1213,Policy and Planning Managers,4
1219,Business Services and Administration Managers Not Elsewhere Classified,4
1221,Sales and Marketing Managers,4
1222,Advertising and Public Relations Managers,4
1223,Research and Development Managers,4
1311,Agricultural and Forestry Production Managers,4
1312,Aquaculture and Fisheries Production Managers,4
1321,Manufacturing Managers,4
1322,Mining Managers,4
1323,Construction Managers,4
1324,"Supply, Distribution and Related Managers",4
1330,Information and Communications Technology Services Managers,4
1341,Child Care Services Managers,4
1342,Health Services Managers,4
1343,Aged Care Services Managers,4
1344,Social Welfare Managers,4
1345,Education Managers,4
1346,Financial and Insurance Services Branch Managers,4
1349,Professional Services Managers Not Elsewhere Classified,4
1411,Hotel Managers,4
1412,Restaurant Managers,4
1420,Retail and Wholesale Trade Managers,4
1431,"Sports, Recreation and Cultural Centre Managers",4
1439,Services Managers Not Elsewhere Classified,4
2111,Physicists and Astronomers,4
2112,Meteorologists,4
2113,Chemists,4
2114,Geologists and Geophysicists,4
2120,"Mathematicians, Actuaries and Statisticians",4
2131,"Biologists, Botanists, Zoologists and Related Professionals",4
2132,"Farming, Forestry and Fisheries Advisers",4
2133,Environmental Protection Professionals,4
2141,Industrial and Production Engineers,4
2142,Civil Engineers,4
2143,Environmental Engineers,4
2144,Mechanical Engineers,4
2145,Chemical Engineers,4
2146,"Mining Engineers, Metallurgists and Related Professionals",4
2149,Engineering Professionals Not Elsewhere Classified,4
2151,Electrical Engineers,4
2152,Electronics Engineers,4
2153,Telecommunications Engineers,4
2161,Building Architects,4
2162,Landscape Architects,4
2163,Product and Garment Designers,4
2164,Town and Traffic Planners,4
2165,Cartographers and Surveyors,4
2166,Graphic and Multimedia Designers,4
2211,Generalist Medical Practitioners,4
2212,Specialist Medical Practitioners,4
2221,Nursing Professionals,4
2222,Midwifery Professionals,4
2230,Traditional and Complementary Medicine Professionals,4
2240,Paramedical Practitioners,4
2250,Veterinarians,4
2261,Dentists,4
2262,Pharmacists,4
2263,Environmental and Occupational Health and Hygiene Professionals,4
2264,Physiotherapists,4
2265,Dieticians and Nutritionists,4
2266,Audiologists and Speech Therapists,4
2267,Optometrists and Ophthalmic Opticians,4
2269,Health Professionals Not Elsewhere Classified,4
2310,University and Higher Education Teachers,4
2320,Vocational Education Teachers,4
2330,Secondary Education Teachers,4
2341,Primary School Teachers,4
2342,Early Childhood Educators,4
2351,Education Methods specialists,4
2352,Special Needs Teachers,4
2353,Other Language Teachers,4
2354,Other Music Teachers,4
2355,Other Arts Teachers,4
2356,Information Technology Trainers,4
2359,Teaching Professionals Not Elsewhere Classified,4
2411,Accountants,4
2412,Financial and Investment Advisers,4
2413,Financial Analysts,4
2421,Management and Organization Analysts,4
2422,Policy Administration Professionals,4
2423,Personnel and Careers Professionals,4
2424,Training and Staff Development Professionals,4
2431,Advertising and Marketing Professionals,4
2432,Public Relations Professionals,4
2433,Technical and Medical Sales Professionals (excluding ICT),4
2434,Information and Communications Technology Sales Professionals,4
2511,Systems Analysts,4
2512,Software Developers,4
2513,Web and Multimedia Developers,4
2514,Applications Programmers,4
2519,Software and Applications Developers and Analysts Not Elsewhere Classified,4
2521,Database Designers and Administrators,4
2522,Systems Administrators,4
2523,Computer Network Professionals,4
2529,Database and Network Professionals Not Elsewhere Classified,4
2611,Lawyers,4
2612,Judges,4
2619,Legal Professionals Not Elsewhere Classified,4
2621,Archivists and Curators,4
2622,Librarians and Related Information Professionals,4
2631,Economists,4
2632,"Sociologists, Anthropologists and Related Professionals",4
2633,"Philosophers, Historians and Political Scientists",4
2634,Psychologists,4
2635,Social Work and Counselling Professionals,4
2636,Religious Professionals,4
2641,Authors and Related Writers,4
2642,Journalists,4
2643,"Translators, Interpreters and Other Linguists",4
2651,Visual Artists,4
2652,"Musicians, Singers and Composers",4
2653,Dancers and Choreographers,4
2654,"Film, Stage and Related Directors and Producers",4
2655,Actors,4
2656,"Announcers on Radio, Television and Other Media",4
2659,Creative and Performing Artists Not Elsewhere Classified,4
3111,Chemical and Physical Science Technicians,4
3112,Civil Engineering Technicians,4
3113,Electrical Engineering Technicians,4
3114,Electronics Engineering Technicians,4
3115,Mechanical Engineering Technicians,4
3116,Chemical Engineering Technicians,4
3117,Mining and Metallurgical Technicians,4
3118,Draughtspersons,4
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,4
3121,Mining Supervisors,4
3122,Manufacturing Supervisors,4
3123,Construction Supervisors,4
3131,Power Production Plant Operators,4
3132,Incinerator and Water Treatment Plant Operators,4
3133,Chemical Processing Plant Controllers,4
3134,Petroleum and Natural Gas Refining Plant Operators,4
3135,Metal Production Process Controllers,4
3139,Process Control Technicians Not Elsewhere Classified,4
3141,Life Science Technicians (excluding Medical),4
3142,Agricultural Technicians,4
